,DateTime,Close,WAP,Volume,High,Low,Time Received,Time
91,20220608  11:35:00,9.9723,9.99511,3897,10.2499,9.79,2022-06-08 16:33:30.243875,11:35:00
92,20220608  11:40:00,10.05,9.97993,1883,10.06,9.87,2022-06-08 16:33:30.243875,11:40:00
93,20220608  11:45:00,9.9592,9.96655,2092,10.05,9.84,2022-06-08 16:33:30.243875,11:45:00
94,20220608  11:50:00,9.84,9.77216,4731,9.95,9.6401,2022-06-08 16:33:30.243875,11:50:00
95,20220608  11:55:00,9.8399,9.82167,1638,9.89,9.73,2022-06-08 16:33:30.243875,11:55:00
96,20220608  12:00:00,10.22,10.08522,6045,10.27,9.73,2022-06-08 16:33:30.243875,12:00:00
97,20220608  12:05:00,10.375,10.45378,8792,10.7,10.2,2022-06-08 16:33:30.244909,12:05:00
98,20220608  12:10:00,10.715,10.6662,9846,10.88,10.34,2022-06-08 16:33:30.244909,12:10:00
99,20220608  12:15:00,10.82,10.68133,9249,10.84,10.43,2022-06-08 16:33:30.244909,12:15:00
100,20220608  12:20:00,10.971,10.8833,12649,11.2,10.62,2022-06-08 16:33:30.244909,12:20:00
101,20220608  12:25:00,10.3649,10.67544,7200,11.0,10.33,2022-06-08 16:33:30.244909,12:25:00
102,20220608  12:30:00,10.3384,10.33937,4100,10.45,10.23,2022-06-08 16:33:30.244909,12:30:00
103,20220608  12:35:00,10.1514,10.26562,2876,10.41,10.11,2022-06-08 16:33:30.244909,12:35:00
104,20220608  12:40:00,10.2554,10.21384,1536,10.3,10.0815,2022-06-08 16:33:30.244909,12:40:00
105,20220608  12:45:00,10.17,10.13216,1741,10.25,10.01,2022-06-08 16:33:30.244909,12:45:00
106,20220608  12:50:00,10.195,10.12386,1784,10.23,10.01,2022-06-08 16:33:30.244909,12:50:00
107,20220608  12:55:00,10.3399,10.27909,2726,10.38,10.13,2022-06-08 16:33:30.244909,12:55:00
108,20220608  13:00:00,10.3301,10.35006,1749,10.43,10.27,2022-06-08 16:33:30.244909,13:00:00
109,20220608  13:05:00,10.3701,10.29833,2124,10.4,10.15,2022-06-08 16:33:30.244909,13:05:00
110,20220608  13:10:00,10.41,10.48557,7056,10.69,10.34,2022-06-08 16:33:30.244909,13:10:00
111,20220608  13:15:00,10.31,10.30139,3787,10.49,10.15,2022-06-08 16:33:30.244909,13:15:00
112,20220608  13:20:00,10.05,10.19301,3058,10.37,10.0,2022-06-08 16:33:30.244909,13:20:00
113,20220608  13:25:00,10.04,10.02362,3523,10.17,9.86,2022-06-08 16:33:30.244909,13:25:00
114,20220608  13:30:00,9.97,9.96808,2144,10.04,9.92,2022-06-08 16:33:30.244909,13:30:00
115,20220608  13:35:00,9.9699,9.93407,2389,10.0799,9.88,2022-06-08 16:33:30.244909,13:35:00
116,20220608  13:40:00,10.04,10.09029,2231,10.18,9.9201,2022-06-08 16:33:30.245904,13:40:00
117,20220608  13:45:00,10.0001,10.02393,2354,10.14,9.9,2022-06-08 16:33:30.245904,13:45:00
118,20220608  13:50:00,10.0199,10.02613,2184,10.1399,9.92,2022-06-08 16:33:30.245904,13:50:00
119,20220608  13:55:00,10.1879,10.07831,2837,10.2437,9.96,2022-06-08 16:33:30.245904,13:55:00
120,20220608  14:00:00,10.33,10.32863,5428,10.5,10.1301,2022-06-08 16:33:30.245904,14:00:00
121,20220608  14:05:00,10.06,10.17932,6168,10.48,9.9,2022-06-08 16:33:30.245904,14:05:00
122,20220608  14:10:00,9.9794,9.98681,3357,10.1,9.9,2022-06-08 16:33:30.245904,14:10:00
123,20220608  14:15:00,9.6601,9.80803,5385,10.15,9.5,2022-06-08 16:33:30.245904,14:15:00
124,20220608  14:20:00,9.4001,9.45671,7157,9.67,9.32,2022-06-08 16:33:30.245904,14:20:00
125,20220608  14:25:00,9.5858,9.44406,4854,9.71,9.25,2022-06-08 16:33:30.245904,14:25:00
126,20220608  14:30:00,9.5608,9.62108,2538,9.78,9.47,2022-06-08 16:33:30.245904,14:30:00
127,20220608  14:35:00,9.4254,9.48527,1815,9.66,9.35,2022-06-08 16:33:30.245904,14:35:00
128,20220608  14:40:00,9.6,9.37622,4288,9.65,9.17,2022-06-08 16:33:30.245904,14:40:00
129,20220608  14:45:00,9.4893,9.56339,2163,9.67,9.4,2022-06-08 16:33:30.245904,14:45:00
130,20220608  14:50:00,9.5799,9.48792,1755,9.64,9.3437,2022-06-08 16:33:30.245904,14:50:00
131,20220608  14:55:00,9.78,9.74731,5136,9.94,9.48,2022-06-08 16:33:30.245904,14:55:00
132,20220608  15:00:00,9.96,10.01969,6078,10.15,9.77,2022-06-08 16:33:30.245904,15:00:00
133,20220608  15:05:00,10.0,10.01106,3852,10.14,9.81,2022-06-08 16:33:30.245904,15:05:00
134,20220608  15:10:00,9.86,10.04192,6037,10.39,9.82,2022-06-08 16:33:30.245904,15:10:00
135,20220608  15:15:00,9.7834,9.78283,3139,9.91,9.5201,2022-06-08 16:33:30.245904,15:15:00
136,20220608  15:20:00,9.9287,9.88044,1751,9.98,9.7501,2022-06-08 16:33:30.245904,15:20:00
137,20220608  15:25:00,9.8183,9.82787,1797,9.97,9.7,2022-06-08 16:33:30.246903,15:25:00
138,20220608  15:30:00,9.7399,9.69129,1512,9.7999,9.59,2022-06-08 16:33:30.246903,15:30:00
139,20220608  15:35:00,9.8,9.82302,1765,9.95,9.7114,2022-06-08 16:33:30.246903,15:35:00
140,20220608  15:40:00,9.7,9.73358,1092,9.83,9.68,2022-06-08 16:33:30.246903,15:40:00
141,20220608  15:45:00,9.74,9.71677,1508,9.83,9.66,2022-06-08 16:33:30.246903,15:45:00
142,20220608  15:50:00,9.5767,9.54467,2925,9.7499,9.41,2022-06-08 16:33:30.246903,15:50:00
